prjNo,subjectCode,ctitle,psnName,orgName,totalAmt,startEndDate
11991073,A050607,激光尾波场加速驱动的新型辐射源研究,陈黎明,上海交通大学,500,2020-01至2024-12
41991321,D0706,构造稳定区大陆风化动力学研究,陈骏,南京大学,395.6,2020-01至2024-12
41991320,D0706,新生代大陆风化调控机制,陈骏,南京大学,1977.2,2020-01至2024-12
11991063,A0402,微纳光电器件使役非平衡物性研究,陈建新,中国科学院上海技术物理研究所,593,2020-01至2024-12
11991034,A0203,工程约束条件下力学超结构的优化设计、性能表征和实验测试,陈虹,武汉第二船舶设计研究所,496,2020-01至2024-12
61991441,F0504,强局域内电场量子阱结构制备与光响应增强机制,陈弘,中国科学院物理研究所,494.8,2020-01至2024-12
21991103,B0803,高含能和高活性化学品制备的微化工过程和科学基础,陈光文,中国科学院大连化学物理研究所,510,2020-01至2024-12
31991204,C0205,作物有性生殖的比较研究,陈凡,中国科学院遗传与发育生物学研究所,498,2020-01至2024-12
71991472,G0303,时空数据建模和预测研究,常晋源,西南财经大学,297,2020-01至2024-12
61991404,F0310,重大耗能设备智能系统研发与关键技术验证,柴天佑,东北大学,640,2020-01至2024-12
61991400,F0310,重大耗能设备智能系统基础理论与关键技术,柴天佑,东北大学,1939,2020-01至2024-12
31991172,C0802,绘制人脑胶质瘤微环境的3D图谱及免疫抑制特征,卞修武,中国人民解放军第三军医大学,498,2020-01至2024-12
81991511,H06,新型骨源性因子的发现和鉴定,白晓春,南方医科大学,400,2020-01至2024-12
81991510,H06,骨源性因子在机体稳态维持中的作用及机制研究,白晓春,南方医科大学,1800,2020-01至2024-12
11991051,A0302,超爱黑洞与双黑洞的物理性质,白金明,中国科学院云南天文台,302,2020-01至2024-12
71991481,G0412,矿产资源全产业链可持续管理体系优化,安海忠,中国地质大学（北京）,285,2020-01至2024-12
61991404,F0310,重大耗能设备智能系统研发与关键技术验证,柴天佑,东北大学,640,2020-01至2024-12
61991400,F0310,重大耗能设备智能系统基础理论与关键技术,柴天佑,东北大学,1939,2020-01至2024-12
31991172,C0802,绘制人脑胶质瘤微环境的3D图谱及免疫抑制特征,卞修武,中国人民解放军第三军医大学,498,2020-01至2024-12
81991511,H06,新型骨源性因子的发现和鉴定,白晓春,南方医科大学,400,2020-01至2024-12
81991510,H06,骨源性因子在机体稳态维持中的作用及机制研究,白晓春,南方医科大学,1800,2020-01至2024-12
11991051,A0302,超爱黑洞与双黑洞的物理性质,白金明,中国科学院云南天文台,302,2020-01至2024-12
71991481,G0412,矿产资源全产业链可持续管理体系优化,安海忠,中国地质大学（北京）,285,2020-01至2024-12
61991404,F0310,重大耗能设备智能系统研发与关键技术验证,柴天佑,东北大学,640,2020-01至2024-12
61991400,F0310,重大耗能设备智能系统基础理论与关键技术,柴天佑,东北大学,1939,2020-01至2024-12
